tag,word,word_count
NN,arrest,3
VBN,constructed,1
NN,share,1
NN,followthrough,1
NNS,Awards,1
NNS,events,1
NN,hardware,1
NNS,activities,4
CD,201220162017,1
NN,APIs,13
NNS,Libraries,1
NN,drivesinnovation,1
VBG,sending,2
NN,SharePoint,6
VBG,Providing,1
RB,only,3
JJ,Fundamental,1
NN,Info,2
VBN,used,5
RB,atmosphere,1
NN,abstract,1
NNS,offices,6
VB,EVerify,2
NN,leader,5
NN,implement,7
NN,Reactjs,1
NN,industryn,1
NN,Techserve,1
NNS,guidelines,1
JJ,Desirable,1
NN,world,10
NN,refinement,1
CD,46,1
NN,entertainment,3
NN,citys,1
NNS,trails,1
NN,Track,1
NNS,attendees,1
NN,earliestjobdescriptionWebex,1
NN,neighborhood,1
VBN,talented,3
PRP,us,18
NN,Columbus,1
NN,youjobdescriptionWe,1
NN,participation,1
NN,Cambridge,2
NNS,smartwatchwearables,1
VBG,coding,2
NN,desktop,1
VBN,WebMobilebased,1
NN,bus,1
NN,charter,1
JJ,real,5
NNS,Hires,1
NNS,criteria,1
NN,evaluate,3
NN,elegant,2
NN,transformation,3
NN,Recruiter,1
NNS,patterns,9
IN,out,9
JJ,Live,1
WP,Who,4
NN,Asia,1
NN,travel,4
NN,floor,1
NN,Research,2
CD,15m,1
NNS,techniques,4
WDT,which,11
NN,part,7
IN,like,9
JJ,ready,2
NN,stack,5
NN,WindowsMac,1
NNP,USA,2
NNS,movies,1
VBN,Managed,1
NN,Expertise,4
RB,approximately,1
JJ,Solid,9
NNS,creates,1
NN,ActiveRecord,1
RB,primarily,3
NN,platform,19
NN,REQUIRED,1
NN,security,3
NN,contract,3
NN,race,12
NN,family,1
NNS,Startups,1
VBD,walkjobdescriptionAcquired,1
NN,Assurance,1
NN,patient,1
NNS,subprojects,1
NNS,Offices,1
JJ,active,2
NNS,Perks,1
VBD,began,1
NN,origin,12
NN,grow,3
NN,Galileo,2
VBG,weighing,1
NN,Management,6
VBG,interfacing,3
NNP,United,5
NNP,Flatiron,2
NN,Waterfall,1
NN,benefit,2
NNS,Masters,1
VBG,Matching,1
VBN,Modified,1
NN,Mandatory,1
NN,receive,8
NNS,screens,1
NN,discount,1
JJ,global,2
JJ,wide,3
NN,package,5
JJ,Low,1
IN,upon,1
JJ,solid,1
RB,statusjobdescriptionWere,1
VBG,Thriving,1
NN,navigation,1
DT,some,3
NNS,masters,1
NNS,Applications,9
NN,HLD,1
NNS,Identifies,2
NNS,conferences,2
NN,color,13
NN,solve,4
NN,query,2
VBG,focusing,1
VBN,ObjectOriented,1
VBN,created,1
NN,inperson,1
NN,Location,7
NN,react,1
NNS,views,1
NN,money,1
NN,Conduct,2
VBG,recommending,1
NN,broader,1
VB,make,10
VBG,emerging,4
JJ,opportunityaffirmative,1
NNS,Shores,1
VB,see,1
NN,Has,1
NN,assistance,4
RB,Fully,2
NN,discriminate,3
DT,every,5
NNS,reports,2
NN,ADs,2
IN,Under,1
NN,s,3
NN,System,1
NN,GitHub,1
NN,inhouse,1
NNP,District,3
NNS,courses,2
NN,authorization,1
JJS,OpenBest,1
NN,everyday,2
NN,click,2
NN,iconic,1
NN,hone,1
NN,womenjobdescriptionJob,1
NN,lead,10
NN,PickTrace,5
NN,document,1
VBZ,has,6
NN,Tuition,1
NN,WEBSITE,1
NN,offline,1
NN,coursework,2
NN,quality,11
NN,multibillion,1
VBG,simplifying,1
JJ,Deep,4
NN,standard,3
NNS,assignments,2
VBG,messaging,3
JJ,Equal,11
NN,okhttp,1
NN,Cisco,8
NNS,walls,1
NNP,Commission,1
JJ,Summary,1
NN,Healthcare,3
NN,signon,1
NN,strive,2
NN,hackathon,1
NNS,learns,2
VB,Go,1
NN,Help,3
NN,httpswwwtandemdiabetescomcareerslifeattandem,1
NN,HSA,1
NN,skillset,1
NN,guidance,4
NN,FormsMVCWeb,1
IN,between,4
JJS,fastest,3
VBN,employed,1
NN,Passion,2
NN,way,7
NNS,notebooks,1
JJ,generous,1
NNS,applies,2
NN,judgment,1
NN,Cash,1
NN,Ruby,2
NN,growth,7
NN,Director,1
VB,Do,2
NN,DHS,2
VBG,connecting,3
NNS,prescribed,1
VBN,committed,3
NN,pregnancy,2
VB,know,3
NN,crossplatform,2
NN,EC2,1
CD,5001000,1
NN,Growth,1
VBN,mediabased,1
NNS,adapts,1
NN,endtoend,3
NNS,enhancements,4
NN,ONLY,1
CD,000,1
NN,foundation,1
NNS,Companies,1
NN,scalability,2
NNS,restaurants,2
VBG,acting,1
NN,Alto,1
NN,provider,3
NNS,Bonuses,1
NN,robust,1
NN,CPS,3
NN,Account,1
NN,hear,1
VBG,Participating,1
NN,Tech,1
IN,than,8
NN,purchasing,1
NN,honoree,1
RB,very,1
NN,moderatelycomplex,1
NNS,environments,5
NN,resume,2
NNP,Phoenix,2
VBG,investing,1
NN,MA,2
NN,Dont,1
NN,OOPOOD,1
JJ,recent,1
NN,LinkedIn,1
NNS,Disabilities,2
NN,television,1
NNS,tags,1
NNS,lounges,1
NN,AgileSCRUM,3
NN,considerationjobdescriptionWe,1
NN,ton,1
NNP,Australia,1
NN,characterize,1
NN,distribution,1
VBN,encouraged,1
VB,consider,2
JJ,intuitive,1
NN,OpenGL,2
NN,enhance,4
NNS,Guidelines,1
NN,configuration,2
JJ,easy,1
VBG,walking,1
NN,nurture,1
NN,Deploy,1
NNS,details,3
NN,youll,5
NNS,selfevaluations,1
NN,Scrum,5
NN,face,1
NN,Verification,1
NNS,deadlines,3
JJ,Global,3
NNS,versions,1
NNS,farmworkers,1
JJ,regulatory,1
VBN,nestled,1
NN,Pointe,1
VBN,headquartered,1
NN,tacos,1
NNP,Service,1
NNS,markets,1
CD,68,1
JJ,nimble,1
NN,Configure,1
JJ,overall,1
NNS,contractors,2
NN,WPF,1
NN,Cross,1
NNS,positions,1
NN,Seattle,2
NN,suite,1
NN,Review,1
JJ,central,1
NN,RWD,1
NN,clientside,2
CD,7,2
RB,privately,2
NN,edge,3
NN,experience5,1
VBN,named,1
NN,Cinco,1
NN,Compliant,1
NN,Lead,12
NN,apple,1
NN,Interoperability,1
JJ,different,5
NN,employment,15
NN,twc,1
NN,Action,5
NN,gathering,3
JJ,rich,3
NN,transport,1
VBG,driving,3
NNP,Louisville,1
NN,point,1
VBG,overlapping,1
NN,Poster,1
NNS,engages,1
NN,SOAP,2
JJ,memorable,1
NN,Numerator,1
NNS,charts,1
JJ,second,1
NN,Store,2
JJ,equal,5
NN,interest,1
NN,maintenance,3
TO,to,321
NN,calendar,2
NNS,extremes,1
CD,000jobdescriptionjobdescriptionLOCAL,1
NNS,aims,1
NN,Photoshop,1
NNS,businessfunctions,1
NNS,amenities,2
NNP,Kanban,1
NN,style,1
JJ,Federal,1
NN,encourage,3
NNS,backgrounds,1
NN,detail,1
NN,applicationhardware,1
CD,10,2
VBZ,is,124
NN,specialization,1
NN,Source,1
VBN,identified,2
JJ,experienced,7
NNS,devices,8
NNS,holidays,2
NNS,Solidworks,1
NNS,publications,1
NN,drug,1
NN,minimal,2
JJ,Casual,1
IN,during,3
DT,the,258
NN,MI,1
VB,Vuetify,1
NN,Deliver,1
NN,Product,6
NNP,York,2
NN,StateoftheArt,1
NN,menus,1
NN,simpletouse,1
NN,Delivery,2
VBN,broadlybased,1
JJ,municipal,1
NN,relentless,1
NNP,Trust,1
NN,household,1
NN,stop,1
CD,2017,3
NNS,Jenkins,2
NNP,Gas,1
JJ,sustainable,5
NN,orientation,10
RB,too,1
NN,YoY,1
NN,XCode,2
NN,SVUS,1
NN,feasibility,1
NN,assist,3
RB,Really,1
VBN,expunged,1
NN,work,50
NNS,quotes,1
NN,time,17
NNS,PickTraces,1
NN,span,1
VB,organize,1
NN,craft,1
VB,Give,1
VBG,exciting,3
JJ,own,3
NN,problem,3
NN,nonmerit,1
NN,VBNET,3
VBN,Demonstrated,12
VBN,preferred,16
VBG,sustaining,1
NN,technologyindustry,1
NN,eligibility,4
VBN,established,1
NN,neat,1
CD,one,20
NN,customdeveloped,1
JJ,Many,1
CD,2018,7
NNS,months,1
IN,on,94
NN,forconsideration,1
NN,Linux,1
VB,identify,3
NN,plusjobdescriptionKforce,1
NN,React,6
WP,What,9
JJ,able,6
NN,send,2
NN,Dickenson,2
NN,stellar,2
NN,iOS,34
NN,Document,1
NNP,June,2
NN,BHN,1
NN,thoughtbot,5
NNS,Principals,1
NN,maximum,1
VBG,pricking,1
CD,3rd,2
NN,center,1
DT,Bluetooth,3
RB,rather,1
NN,end,8
NN,cycle,5
JJ,happy,1
NNS,designers,4
RB,constantly,1
NN,advance,2
NN,NTier,1
NNS,requirements,22
NN,Job,10
NN,intranet,1
NN,Employment,5
NNP,Michigan,1
NN,College,1
NN,product,26
NN,Advocate,1
NN,tech,4
NN,inclusion,1
NN,reach,1
NN,computer,5
VBN,Driven,1
JJ,Other,2
NN,extensibility,1
NN,hearing,2
NN,spectrum,3
JJ,Top,4
WRB,when,4
VBG,ranging,1
NN,Objective,3
NNS,stakeholders,5
VBG,deploying,2
NN,Pump,1
VBG,integrating,3
NN,job,7
NNS,tests,8
NN,party,2
NN,Assist,1
NN,built,3
NN,Net2Source,5
VBN,called,2
NN,support,15
VBG,improving,3
PRP,You,28
NN,Explorer,1
NNS,Opportunities,1
NNS,practices,22
NN,balance,4
NN,Package,1
CD,12,2
NN,Engineer,16
NN,JavaScript,7
NN,Unity,1
NN,tslim,1
VBG,breaking,1
VBG,changing,4
NN,density,1
RB,occasionally,1
NN,button,1
NN,Denver,1
VBN,offered,1
NN,SkillsjobdescriptionjobdescriptionAndroid,1
IN,along,1
NN,landmark,1
RB,architecturally,1
VBN,welldesigned,2
JJ,dynamic,5
NN,Principal,3
NNS,sites,1
NN,mission,1
NN,GroupjobdescriptionA,1
NN,evolve,1
NN,learn,8
NNS,roles,1
NN,Frequent,1
IN,with,270
NN,Payroll,1
NN,uniqueness,1
NN,input,4
NN,integration,9
NN,dress,1
NN,machinery,1
NN,Auto,3
NNS,accommodations,1
NN,ecosystem,2
VBG,partnering,1
NN,company,17
NNS,enterprises,2
PRP$,your,34
NN,biking,1
NN,education,4
NN,era,1
NNS,processors,1
RB,sphere,1
NN,Smart,1
NN,Software,12
RB,timely,1
NN,Ext,1
JJ,great,9
NN,Skill,2
NNP,FINANCIAL,1
NN,Workplace,1
JJ,viable,1
NN,apps,18
NN,creativity,2
NN,Type,2
VBN,Paid,1
NN,servicescompany,1
NN,everyone,2
NNS,points,1
RB,easily,1
PRP$,Your,3
NNS,Analysts,3
VBG,debugging,2
NN,board,1
VBG,serving,1
CD,3day,1
RB,there,2
VBN,SOAPbased,1
VB,leave,2
NN,core,3
VBN,microservicesbased,1
JJ,single,1
RB,rapidly,2
IN,against,1
NN,innovation,6
VBN,improved,1
CD,11,1
NN,Duration,2
NN,Analyst,1
NNS,Regards,1
NN,Mobile,17
NNP,America,5
NN,Environment,1
JJ,eligible,2
NN,leadership,4
NN,SUMMARY,1
NN,AS400,1
CD,500000,1
JJ,necessary,1
NNS,develops,1
NNS,Months,2
NN,eg,1
NN,stake,1
JJ,Primary,3
NN,eager,2
NNS,posts,1
NN,accommodation,1
NN,copy,1
NN,vision,8
NNP,Energy,2
NNS,Hours,1
NN,Are,2
NN,MAJOR,1
NN,bonus,4
NN,Income,1
NN,bug,1
NN,Mclean,1
NN,engineering,17
NN,willingness,1
NNS,interfaces,4
NN,Swift,13
NNS,consumers,2
NN,orexpression,1
NN,OregONEligibility,1
NN,wiki,1
NN,review,4
NN,Flow,1
NNS,thats,2
JJ,creative,4
VBG,Planning,2
NN,impgocom,1
NNS,supports,3
NN,relative,1
NNS,Milpitas,1
NNS,sets,1
NN,behalf,1
NNS,RolesResponsibilities,1
NNS,wireframes,2
NN,PTOjobdescriptionPosition,1
NNS,Techniques,1
NN,robustness,2
JJ,retail,1
NN,visualization,1
NNS,platforms,11
NN,responsiveness,1
NN,Video,1
VBG,developing,25
NN,read,2
NN,digital,13
NNS,Cryotronics,3
NN,division,1
NN,sitejobdescriptionOur,1
NN,term,1
NN,clean,4
NNS,coworkers,1
NN,proficiency,1
NN,ofAccenture,1
RB,So,1
NN,Government,3
JJ,independent,1
NNS,Reasons,1
NN,hire,4
NN,photo,1
NNS,components,2
VBN,dedicated,4
NN,Opportunity,10
NN,costumecontest,1
CD,100,3
JJ,general,5
NNS,cultures,1
NN,Network,2
NN,development,114
VBG,coworking,1
NN,Application,4
PRP,it,5
NNS,capabilities,5
VB,Bring,1
NN,Ideal,1
NN,Conversion,1
JJS,Fastest,2
NN,bestknown,1
JJ,educational,1
JJ,analytical,3
NN,River,2
NN,role,7
NNS,maintains,1
NN,Youll,4
NN,UIKit,1
IN,of,302
NN,RxJava,2
CD,5,10
NN,Sale,2
NN,NYC,4
NN,LAMP,1
NN,Membership,1
NN,Everything,1
NN,Fulltime,1
NN,DAC,1
NN,Halloween,1
NNS,principles,6
NN,Ascension,13
NN,SDKs,1
NN,expertise,12
NN,custom,1
NN,compliance,1
NN,membership,2
JJ,full,7
VB,Produce,1
NN,quo,1
VB,Weve,2
NNS,drives,2
NNS,sensors,1
NN,become,3
NN,Holiday,1
NN,Quality,2
NN,link,4
RBR,less,1
NN,train,1
NN,marketing,9
IN,through,17
NNS,discussions,2
NN,curate,1
NN,Email,1
NN,engage,3
NN,PHP,2
NN,excellent,2
NN,delight,3
NNS,values,1
NN,Shape,1
VBN,based,10
NN,join,8
NN,UK,1
NN,master,1
NN,ship,4
NN,assignment,1
NN,verbal,2
NN,operating,1
NN,trust,1
NN,serve,5
NN,execute,2
NNP,Kotlin,12
NN,Plus1,1
NN,BABS,1
NNP,New,2
IN,Like,1
NNS,Tandems,3
NNS,libraries,8
JJ,federal,1
NN,Contact,1
VBZ,follows,1
NN,Proficient,9
VBN,covered,2
NN,research,1
NN,mobility,4
NN,basisjobdescriptionImmediate,1
NN,FTE,1
NNS,brands,3
NN,concept,2
NN,website,6
NN,RPO,1
NN,propose,1
NN,street,1
NNS,requirementsrules,1
NN,usability,3
NN,thorough,1
JJ,unmatched,2
NNS,countries,6
NN,Field,1
NN,selflearner,1
NN,Join,5
VBG,challenging,2
NN,Interest,2
NN,SelfSufficiency,1
JJ,academic,1
VBN,demonstrated,5
NN,project,16
NN,Club,3
VBN,trusted,1
NN,sought,2
NN,SVN,1
NNS,Sheets,1
PRP,We,55
IN,inside,1
NNS,CANDIDATES,1
VBG,upcoming,2
NNS,conditions,1
JJS,largest,6
NN,Science,11
NN,Shore,3
NNS,milestones,1
NN,Note,1
NNP,Angeles,1
NN,date,1
VBG,exploring,1
NNS,updates,4
NN,Visit,2
NN,round,1
RB,boldly,2
VBG,Working,6
VB,Lake,4
NN,feedbackcommunication,1
NN,charge,1
VB,Call,1
VBN,substituted,1
VBN,NETbased,1
NN,FY2018,1
NN,liaison,1
IN,off,8
VBN,protected,12
NN,SOLID,1
JJ,willing,1
RB,frequently,2
NN,Developer,21
NN,EngineerjobdescriptionDay,1
NN,status,24
NN,workspace,1
NN,RESPONSIBILITIES,1
NN,fluid,2
VBN,Adjusted,1
VB,Please,3
NNS,Oregonians,1
VBG,troubleshootingdebugging,1
RB,businessdriven,1
NNS,Candidates,4
JJ,Local,1
JJ,critical,3
VBN,raised,1
NN,business,24
CD,2,9
NN,teach,1
NN,human,1
IN,After,1
NN,context,1
NN,shift,1
NN,ROLE,2
DT,either,2
NNS,pools,1
NN,CS,1
VBG,supporting,3
NN,postgraduate,1
NN,learner,2
NNS,days,3
VBG,rewarding,1
UH,Yes,1
NN,cure,1
JJ,reusable,2
NN,IE,6
NN,Hangout,1
NN,manufacturer,1
NN,maturity,1
NN,DOE,1
NN,revolution,3
NN,panel,1
JJ,Natural,1
PRP,they,3
NN,tell,1
NN,wellness,1
NN,Vision,2
NN,define,6
NNS,Details,1
NN,art,4
NNS,Whats,2
VBD,backed,1
NN,component,1
NN,Serve,1
VB,Everify,1
UH,OH,1
NN,Excel,1
NN,app,13
NN,startup,5
NN,Angularjs,1
NN,goal,4
JJ,personal,2
NNS,improvements,2
NN,collaboration,8
VBG,following,2
NN,communicate,2
NN,cable,3
NN,age,8
NN,care,9
NNS,developments,3
NNS,demographics,1
NN,onsite,1
NN,Excellent,8
JJ,interactive,2
VBN,discriminated,1
VBN,delivered,2
CD,million,4
NN,offsite,1
NN,Winner,1
NNS,growers,1
VBG,hiring,5
MD,may,6
NNS,Diabetes,1
NN,PTOSick,1
NN,pair,1
MD,would,10
NN,keen,1
NN,twoblock,1
NN,visit,1
NN,Content,4
JJ,Competitive,2
VBG,DeliveryMaintenenceTesting,1
NNS,lines,4
NNP,California,1
JJ,sexual,10
IN,in,250
NNS,caseworkers,1
JJ,hydromechanical,3
NN,gamut,1
NN,deeper,1
NN,range,3
NN,SUPPORT,1
NNS,Systems,9
NNP,Canada,1
NNS,competitors,1
NN,Javascript,1
NN,analysis,6
VB,Galvanize,1
VBG,dreaming,1
NN,Supplement,1
JJ,influential,1
NNS,projects,28
NN,SSIS,1
NN,UIUX,2
NN,Contribute,3
NN,DevOps,4
NNS,Tools,1
NN,Mainframe,1
VBG,growing,6
NN,purposeful,1
VBG,Documenting,1
IN,from,31
VBN,customized,2
NN,opportunity,13
NN,treat,1
NN,highquality,7
NN,Bellevue,1
VBG,caching,1
VBG,selfdocumenting,1
JJ,specific,2
NN,audio,1
NN,recruitment,2
NN,ARMR,1
VBG,organizing,3
NNS,opportunities,4
NN,control,5
VBG,Developing,7
NN,trading,1
CC,or,104
NN,DB2,2
NN,degree,14
NN,esktop,1
VBG,participating,1
NNS,Sales,3
NNS,visuals,1
VB,do,8
VBG,modeling,2
NN,agriculturespecific,1
NN,manageability,1
NNS,sitemaps,1
NNS,tons,1
NNS,tickets,1
NN,Dental,3
NN,email,3
NN,test,12
VBN,disclosesealed,1
NN,Ability,5
NNP,Group,3
NN,LEARNING,1
NNS,MinoritiesFemalesDisabledVeterans,1
NN,Internet,2
VB,Write,3
NN,Apps,1
NNS,things,2
NNS,challenges,2
NNS,territories,1
NN,PTO,1
NN,productionready,2
NNS,Displays,1
JJ,Major,1
NN,Word,2
NN,interaction,3
NN,continuum,2
NNS,testers,1
NNS,sources,2
NNS,Standards,1
NN,diagnose,1
JJ,entire,2
JJ,financial,2
NN,methodology,1
CC,AND,1
NNS,startups,1
VBN,powered,3
NN,pleasant,1
VBG,mentoring,2
NNS,weeks,2
NNS,Owners,1
NN,hydraulic,3
JJ,Interested,2
JJ,popular,1
NN,living,2
CD,5000,1
NNS,teams,15
NNS,friends,1
NN,jobdescriptionJob,1
DT,An,1
NNS,results,2
JJ,much,2
VBN,corned,1
NN,journey,1
NN,processing,2
JJS,most,7
VBN,supplied,1
NN,prototype,1
DT,both,7
JJ,underpinned,1
NNS,Oregons,2
IN,around,3
NNS,metrics,2
NN,aspect,1
NN,ALWAYS,1
JJ,limited,1
VBN,Accelerated,1
NN,infield,1
NN,reimbursement,1
NN,chat,1
IN,For,6
NN,year,6
NNS,changes,6
NN,deploy,3
NN,BS,2
NN,insight,2
NN,Marketing,1
NNS,agencies,2
NN,Project,8
NN,Platinum,1
NN,agile,8
NN,renown,1
VBG,awardwinning,2
NN,regard,8
NN,Stoir,1
NN,heart,1
VBG,guiding,1
NNS,People,1
VBN,welltested,1
NN,Gross,1
VBN,Embedded,1
JJ,productive,2
NN,convey,1
NN,respect,1
JJ,beneficial,1
RB,carefully,1
NN,celebrate,1
NN,featureproduct,1
CD,1267220,1
NN,Stay,2
NNS,stories,2
RB,offshore,1
NN,Enjoy,3
NN,Interface,1
PRP,we,52
NN,courtesy,1
NNS,OwnersAnalysts,1
NN,interview,2
NN,ML,1
DT,Some,1
IN,over,6
VBN,Desired,1
NN,re,1
NN,SDLC,4
NNS,bodies,1
VB,Optimize,1
NN,government,1
NN,compassionate,1
